Electricity:Facility,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,Site Direct Solar Radiation Rate per Area,days,tc1,tc2,tc3
377412.0819,1.942956349,62.61458333,188.2471892,28,9.907437822,11.60516257,0.618660468
432410.5935,5.43313172,62.39908154,197.9807721,31,9.907437822,11.60516257,0.618660468
447571.7391,12.56460648,68.95763889,135.3763503,30,9.907437822,11.60516257,0.618660468
540051.389,17.91901882,74.3156362,192.3388217,31,9.907437822,11.60516257,0.618660468
574374.2858,22.21377315,69.30104167,225.3063657,30,9.907437822,11.60516257,0.618660468
625996.713,26.66420251,66.30790771,284.5905765,31,9.907437822,11.60516257,0.618660468
620577.5177,23.04596774,77.16319444,219.8065636,31,9.907437822,11.60516257,0.618660468
562357.8544,20.35770833,84.16527778,153.3049769,30,9.907437822,11.60516257,0.618660468
475688.5697,12.89782706,75.73711918,157.4538157,31,9.907437822,11.60516257,0.618660468
428145.0388,9.760949074,74.10636574,128.5277006,30,9.907437822,11.60516257,0.618660468
417033.1919,5.489852151,75.55857975,140.3433766,31,9.907437822,11.60516257,0.618660468
389840.209,-2.113575269,70.30320341,156.7973417,31,12.38855325,9.022499397,0.54877832
363736.2236,1.942956349,62.61458333,188.2471892,28,12.38855325,9.022499397,0.54877832
417504.13,5.43313172,62.39908154,197.9807721,31,12.38855325,9.022499397,0.54877832
432439.4981,12.56460648,68.95763889,135.3763503,30,12.38855325,9.022499397,0.54877832
523793.8569,17.91901882,74.3156362,192.3388217,31,12.38855325,9.022499397,0.54877832
558151.2434,22.21377315,69.30104167,225.3063657,30,12.38855325,9.022499397,0.54877832
606307.1213,26.66420251,66.30790771,284.5905765,31,12.38855325,9.022499397,0.54877832
602096.7984,23.04596774,77.16319444,219.8065636,31,12.38855325,9.022499397,0.54877832
545702.0141,20.35770833,84.16527778,153.3049769,30,12.38855325,9.022499397,0.54877832
460068.0594,12.89782706,75.73711918,157.4538157,31,12.38855325,9.022499397,0.54877832
413411.9158,9.760949074,74.10636574,128.5277006,30,12.38855325,9.022499397,0.54877832
401626.5224,5.489852151,75.55857975,140.3433766,31,12.38855325,9.022499397,0.54877832
389991.9899,-2.113575269,70.30320341,156.7973417,31,8.810299595,11.44835783,0.575401391
363072.5627,1.942956349,62.61458333,188.2471892,28,8.810299595,11.44835783,0.575401391
415436.4353,5.43313172,62.39908154,197.9807721,31,8.810299595,11.44835783,0.575401391
430970.9544,12.56460648,68.95763889,135.3763503,30,8.810299595,11.44835783,0.575401391
521387.2848,17.91901882,74.3156362,192.3388217,31,8.810299595,11.44835783,0.575401391
554798.9977,22.21377315,69.30104167,225.3063657,30,8.810299595,11.44835783,0.575401391
606375.9392,26.66420251,66.30790771,284.5905765,31,8.810299595,11.44835783,0.575401391
