Electricity:Facility,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,Site Direct Solar Radiation Rate per Area,days,tc1,tc2,tc3,tc4
442767.3558,-2.113575269,70.30320341,156.7973417,31,12.60135152,12.05139858,0.694212778,0.00025335
414220.0634,1.942956349,62.61458333,188.2471892,28,12.60135152,12.05139858,0.694212778,0.00025335
475881.3512,5.43313172,62.39908154,197.9807721,31,12.60135152,12.05139858,0.694212778,0.00025335
490044.1324,12.56460648,68.95763889,135.3763503,30,12.60135152,12.05139858,0.694212778,0.00025335
589496.2115,17.91901882,74.3156362,192.3388217,31,12.60135152,12.05139858,0.694212778,0.00025335
625969.5055,22.21377315,69.30104167,225.3063657,30,12.60135152,12.05139858,0.694212778,0.00025335
677677.5812,26.66420251,66.30790771,284.5905765,31,12.60135152,12.05139858,0.694212778,0.00025335
675569.9443,23.04596774,77.16319444,219.8065636,31,12.60135152,12.05139858,0.694212778,0.00025335
611241.9412,20.35770833,84.16527778,153.3049769,30,12.60135152,12.05139858,0.694212778,0.00025335
519932.0586,12.89782706,75.73711918,157.4538157,31,12.60135152,12.05139858,0.694212778,0.00025335
468740.9654,9.760949074,74.10636574,128.5277006,30,12.60135152,12.05139858,0.694212778,0.00025335
456789.0629,5.489852151,75.55857975,140.3433766,31,12.60135152,12.05139858,0.694212778,0.00025335
412336.0239,-2.113575269,70.30320341,156.7973417,31,11.93918194,10.55360155,0.550501296,0.000354144
384415.3816,1.942956349,62.61458333,188.2471892,28,11.93918194,10.55360155,0.550501296,0.000354144
441098.1545,5.43313172,62.39908154,197.9807721,31,11.93918194,10.55360155,0.550501296,0.000354144
455925.5525,12.56460648,68.95763889,135.3763503,30,11.93918194,10.55360155,0.550501296,0.000354144
550457.0363,17.91901882,74.3156362,192.3388217,31,11.93918194,10.55360155,0.550501296,0.000354144
585719.0517,22.21377315,69.30104167,225.3063657,30,11.93918194,10.55360155,0.550501296,0.000354144
636315.3952,26.66420251,66.30790771,284.5905765,31,11.93918194,10.55360155,0.550501296,0.000354144
632076.86,23.04596774,77.16319444,219.8065636,31,11.93918194,10.55360155,0.550501296,0.000354144
572575.3126,20.35770833,84.16527778,153.3049769,30,11.93918194,10.55360155,0.550501296,0.000354144
484425.3214,12.89782706,75.73711918,157.4538157,31,11.93918194,10.55360155,0.550501296,0.000354144
436020.1937,9.760949074,74.10636574,128.5277006,30,11.93918194,10.55360155,0.550501296,0.000354144
424302.9184,5.489852151,75.55857975,140.3433766,31,11.93918194,10.55360155,0.550501296,0.000354144
400020.9134,-2.113575269,70.30320341,156.7973417,31,9.090225935,11.84667137,0.573576532,0.000261157
372992.9233,1.942956349,62.61458333,188.2471892,28,9.090225935,11.84667137,0.573576532,0.000261157
427142.7441,5.43313172,62.39908154,197.9807721,31,9.090225935,11.84667137,0.573576532,0.000261157
442511.727,12.56460648,68.95763889,135.3763503,30,9.090225935,11.84667137,0.573576532,0.000261157
535097.8392,17.91901882,74.3156362,192.3388217,31,9.090225935,11.84667137,0.573576532,0.000261157
568897.6971,22.21377315,69.30104167,225.3063657,30,9.090225935,11.84667137,0.573576532,0.000261157
620467.0794,26.66420251,66.30790771,284.5905765,31,9.090225935,11.84667137,0.573576532,0.000261157
614189.278,23.04596774,77.16319444,219.8065636,31,9.090225935,11.84667137,0.573576532,0.000261157
556767.5274,20.35770833,84.16527778,153.3049769,30,9.090225935,11.84667137,0.573576532,0.000261157
470901.1991,12.89782706,75.73711918,157.4538157,31,9.090225935,11.84667137,0.573576532,0.000261157
423594.8497,9.760949074,74.10636574,128.5277006,30,9.090225935,11.84667137,0.573576532,0.000261157
412448.3523,5.489852151,75.55857975,140.3433766,31,9.090225935,11.84667137,0.573576532,0.000261157
432991.2424,-2.113575269,70.30320341,156.7973417,31,12.15195011,11.71238941,0.621118259,0.000265971
404594.207,1.942956349,62.61458333,188.2471892,28,12.15195011,11.71238941,0.621118259,0.000265971
464764.525,5.43313172,62.39908154,197.9807721,31,12.15195011,11.71238941,0.621118259,0.000265971
479074.0667,12.56460648,68.95763889,135.3763503,30,12.15195011,11.71238941,0.621118259,0.000265971
577095.3702,17.91901882,74.3156362,192.3388217,31,12.15195011,11.71238941,0.621118259,0.000265971
613297.248,22.21377315,69.30104167,225.3063657,30,12.15195011,11.71238941,0.621118259,0.000265971
664977.9221,26.66420251,66.30790771,284.5905765,31,12.15195011,11.71238941,0.621118259,0.000265971
662084.0927,23.04596774,77.16319444,219.8065636,31,12.15195011,11.71238941,0.621118259,0.000265971
599466.2024,20.35770833,84.16527778,153.3049769,30,12.15195011,11.71238941,0.621118259,0.000265971
508914.1515,12.89782706,75.73711918,157.4538157,31,12.15195011,11.71238941,0.621118259,0.000265971
458364.9177,9.760949074,74.10636574,128.5277006,30,12.15195011,11.71238941,0.621118259,0.000265971
446527.3659,5.489852151,75.55857975,140.3433766,31,12.15195011,11.71238941,0.621118259,0.000265971
357415.5342,-2.113575269,70.30320341,156.7973417,31,10.33218589,8.767886726,0.703286651,0.000338191
333556.9006,1.942956349,62.61458333,188.2471892,28,10.33218589,8.767886726,0.703286651,0.000338191
381573.3892,5.43313172,62.39908154,197.9807721,31,10.33218589,8.767886726,0.703286651,0.000338191
396987.1325,12.56460648,68.95763889,135.3763503,30,10.33218589,8.767886726,0.703286651,0.000338191
481731.2126,17.91901882,74.3156362,192.3388217,31,10.33218589,8.767886726,0.703286651,0.000338191
514099.0497,22.21377315,69.30104167,225.3063657,30,10.33218589,8.767886726,0.703286651,0.000338191
561955.3191,26.66420251,66.30790771,284.5905765,31,10.33218589,8.767886726,0.703286651,0.000338191
554609.0247,23.04596774,77.16319444,219.8065636,31,10.33218589,8.767886726,0.703286651,0.000338191
503052.8253,20.35770833,84.16527778,153.3049769,30,10.33218589,8.767886726,0.703286651,0.000338191
422444.7514,12.89782706,75.73711918,157.4538157,31,10.33218589,8.767886726,0.703286651,0.000338191
379280.1652,9.760949074,74.10636574,128.5277006,30,10.33218589,8.767886726,0.703286651,0.000338191
368380.0676,5.489852151,75.55857975,140.3433766,31,10.33218589,8.767886726,0.703286651,0.000338191
351657.7944,-2.113575269,70.30320341,156.7973417,31,8.749971786,9.45723644,0.641479409,0.000242461
327697.7809,1.942956349,62.61458333,188.2471892,28,8.749971786,9.45723644,0.641479409,0.000242461
374803.9611,5.43313172,62.39908154,197.9807721,31,8.749971786,9.45723644,0.641479409,0.000242461
390441.5564,12.56460648,68.95763889,135.3763503,30,8.749971786,9.45723644,0.641479409,0.000242461
474141.3921,17.91901882,74.3156362,192.3388217,31,8.749971786,9.45723644,0.641479409,0.000242461
