Electricity:Facility,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,Site Direct Solar Radiation Rate per Area,days,tc1,tc2,tc3,tc4,tc5
604313.8873,26.66420251,66.30790771,284.5905765,31,11.48093354,8.924971163,0.651049789,0.000293625,4.892593197
596162.6625,23.04596774,77.16319444,219.8065636,31,11.48093354,8.924971163,0.651049789,0.000293625,4.892593197
539461.892,20.35770833,84.16527778,153.3049769,30,11.48093354,8.924971163,0.651049789,0.000293625,4.892593197
446954.6295,12.89782706,75.73711918,157.4538157,31,11.48093354,8.924971163,0.651049789,0.000293625,4.892593197
399352.9842,9.760949074,74.10636574,128.5277006,30,11.48093354,8.924971163,0.651049789,0.000293625,4.892593197
387035.4862,5.489852151,75.55857975,140.3433766,31,11.48093354,8.924971163,0.651049789,0.000293625,4.892593197
406807.7665,-2.113575269,70.30320341,156.7973417,31,12.33416652,10.01643472,0.552542541,0.000284684,5.130415646
379869.9857,1.942956349,62.61458333,188.2471892,28,12.33416652,10.01643472,0.552542541,0.000284684,5.130415646
436192.359,5.43313172,62.39908154,197.9807721,31,12.33416652,10.01643472,0.552542541,0.000284684,5.130415646
453118.8121,12.56460648,68.95763889,135.3763503,30,12.33416652,10.01643472,0.552542541,0.000284684,5.130415646
550596.1135,17.91901882,74.3156362,192.3388217,31,12.33416652,10.01643472,0.552542541,0.000284684,5.130415646
587915.4759,22.21377315,69.30104167,225.3063657,30,12.33416652,10.01643472,0.552542541,0.000284684,5.130415646
641203.2204,26.66420251,66.30790771,284.5905765,31,12.33416652,10.01643472,0.552542541,0.000284684,5.130415646
635506.149,23.04596774,77.16319444,219.8065636,31,12.33416652,10.01643472,0.552542541,0.000284684,5.130415646
575153.3774,20.35770833,84.16527778,153.3049769,30,12.33416652,10.01643472,0.552542541,0.000284684,5.130415646
481790.8365,12.89782706,75.73711918,157.4538157,31,12.33416652,10.01643472,0.552542541,0.000284684,5.130415646
432072.9966,9.760949074,74.10636574,128.5277006,30,12.33416652,10.01643472,0.552542541,0.000284684,5.130415646
419613.4289,5.489852151,75.55857975,140.3433766,31,12.33416652,10.01643472,0.552542541,0.000284684,5.130415646
360627.5589,-2.113575269,70.30320341,156.7973417,31,8.774264963,9.774086957,0.529298843,0.000286333,5.269432514
335659.6038,1.942956349,62.61458333,188.2471892,28,8.774264963,9.774086957,0.529298843,0.000286333,5.269432514
383928.21,5.43313172,62.39908154,197.9807721,31,8.774264963,9.774086957,0.529298843,0.000286333,5.269432514
401130.439,12.56460648,68.95763889,135.3763503,30,8.774264963,9.774086957,0.529298843,0.000286333,5.269432514
488736.5155,17.91901882,74.3156362,192.3388217,31,8.774264963,9.774086957,0.529298843,0.000286333,5.269432514
522543.0357,22.21377315,69.30104167,225.3063657,30,8.774264963,9.774086957,0.529298843,0.000286333,5.269432514
573950.1809,26.66420251,66.30790771,284.5905765,31,8.774264963,9.774086957,0.529298843,0.000286333,5.269432514
564421.4264,23.04596774,77.16319444,219.8065636,31,8.774264963,9.774086957,0.529298843,0.000286333,5.269432514
511919.2047,20.35770833,84.16527778,153.3049769,30,8.774264963,9.774086957,0.529298843,0.000286333,5.269432514
427589.3281,12.89782706,75.73711918,157.4538157,31,8.774264963,9.774086957,0.529298843,0.000286333,5.269432514
383112.9045,9.760949074,74.10636574,128.5277006,30,8.774264963,9.774086957,0.529298843,0.000286333,5.269432514
371616.0271,5.489852151,75.55857975,140.3433766,31,8.774264963,9.774086957,0.529298843,0.000286333,5.269432514
379324.9739,-2.113575269,70.30320341,156.7973417,31,10.18046988,10.08660015,0.687380138,0.000278262,4.454203613
354414.5337,1.942956349,62.61458333,188.2471892,28,10.18046988,10.08660015,0.687380138,0.000278262,4.454203613
405909.0604,5.43313172,62.39908154,197.9807721,31,10.18046988,10.08660015,0.687380138,0.000278262,4.454203613
427779.0421,12.56460648,68.95763889,135.3763503,30,10.18046988,10.08660015,0.687380138,0.000278262,4.454203613
526394.3405,17.91901882,74.3156362,192.3388217,31,10.18046988,10.08660015,0.687380138,0.000278262,4.454203613
567321.9533,22.21377315,69.30104167,225.3063657,30,10.18046988,10.08660015,0.687380138,0.000278262,4.454203613
627289.3934,26.66420251,66.30790771,284.5905765,31,10.18046988,10.08660015,0.687380138,0.000278262,4.454203613
614517.5884,23.04596774,77.16319444,219.8065636,31,10.18046988,10.08660015,0.687380138,0.000278262,4.454203613
555840.6321,20.35770833,84.16527778,153.3049769,30,10.18046988,10.08660015,0.687380138,0.000278262,4.454203613
454964.7181,12.89782706,75.73711918,157.4538157,31,10.18046988,10.08660015,0.687380138,0.000278262,4.454203613
405495.2438,9.760949074,74.10636574,128.5277006,30,10.18046988,10.08660015,0.687380138,0.000278262,4.454203613
392295.6152,5.489852151,75.55857975,140.3433766,31,10.18046988,10.08660015,0.687380138,0.000278262,4.454203613
378897.0075,-2.113575269,70.30320341,156.7973417,31,10.67803811,9.492351352,0.507001014,0.000267215,5.054381991
353341.9757,1.942956349,62.61458333,188.2471892,28,10.67803811,9.492351352,0.507001014,0.000267215,5.054381991
405036.5681,5.43313172,62.39908154,197.9807721,31,10.67803811,9.492351352,0.507001014,0.000267215,5.054381991
423257.0605,12.56460648,68.95763889,135.3763503,30,10.67803811,9.492351352,0.507001014,0.000267215,5.054381991
517033.8815,17.91901882,74.3156362,192.3388217,31,10.67803811,9.492351352,0.507001014,0.000267215,5.054381991
553552.0345,22.21377315,69.30104167,225.3063657,30,10.67803811,9.492351352,0.507001014,0.000267215,5.054381991
606617.4528,26.66420251,66.30790771,284.5905765,31,10.67803811,9.492351352,0.507001014,0.000267215,5.054381991
598257.5514,23.04596774,77.16319444,219.8065636,31,10.67803811,9.492351352,0.507001014,0.000267215,5.054381991
541629.4079,20.35770833,84.16527778,153.3049769,30,10.67803811,9.492351352,0.507001014,0.000267215,5.054381991
450840.0584,12.89782706,75.73711918,157.4538157,31,10.67803811,9.492351352,0.507001014,0.000267215,5.054381991
403301.7219,9.760949074,74.10636574,128.5277006,30,10.67803811,9.492351352,0.507001014,0.000267215,5.054381991
390923.6608,5.489852151,75.55857975,140.3433766,31,10.67803811,9.492351352,0.507001014,0.000267215,5.054381991
397197.7656,-2.113575269,70.30320341,156.7973417,31,9.924114369,11.12759396,0.600594954,0.000343838,4.639686036
370403.1173,1.942956349,62.61458333,188.2471892,28,9.924114369,11.12759396,0.600594954,0.000343838,4.639686036
424293.1926,5.43313172,62.39908154,197.9807721,31,9.924114369,11.12759396,0.600594954,0.000343838,4.639686036
444957.4356,12.56460648,68.95763889,135.3763503,30,9.924114369,11.12759396,0.600594954,0.000343838,4.639686036
544713.8578,17.91901882,74.3156362,192.3388217,31,9.924114369,11.12759396,0.600594954,0.000343838,4.639686036
585014.3924,22.21377315,69.30104167,225.3063657,30,9.924114369,11.12759396,0.600594954,0.000343838,4.639686036
645135.4279,26.66420251,66.30790771,284.5905765,31,9.924114369,11.12759396,0.600594954,0.000343838,4.639686036
633998.1381,23.04596774,77.16319444,219.8065636,31,9.924114369,11.12759396,0.600594954,0.000343838,4.639686036
573073.028,20.35770833,84.16527778,153.3049769,30,9.924114369,11.12759396,0.600594954,0.000343838,4.639686036
472908.829,12.89782706,75.73711918,157.4538157,31,9.924114369,11.12759396,0.600594954,0.000343838,4.639686036
422795.4144,9.760949074,74.10636574,128.5277006,30,9.924114369,11.12759396,0.600594954,0.000343838,4.639686036
409839.9682,5.489852151,75.55857975,140.3433766,31,9.924114369,11.12759396,0.600594954,0.000343838,4.639686036
363988.2964,-2.113575269,70.30320341,156.7973417,31,9.708931055,9.269800131,0.488136497,0.000277104,5.366624802
338884.0112,1.942956349,62.61458333,188.2471892,28,9.708931055,9.269800131,0.488136497,0.000277104,5.366624802
387974.2706,5.43313172,62.39908154,197.9807721,31,9.708931055,9.269800131,0.488136497,0.000277104,5.366624802
404686.5997,12.56460648,68.95763889,135.3763503,30,9.708931055,9.269800131,0.488136497,0.000277104,5.366624802
492936.6819,17.91901882,74.3156362,192.3388217,31,9.708931055,9.269800131,0.488136497,0.000277104,5.366624802
526413.8686,22.21377315,69.30104167,225.3063657,30,9.708931055,9.269800131,0.488136497,0.000277104,5.366624802
576647.3049,26.66420251,66.30790771,284.5905765,31,9.708931055,9.269800131,0.488136497,0.000277104,5.366624802
568435.5783,23.04596774,77.16319444,219.8065636,31,9.708931055,9.269800131,0.488136497,0.000277104,5.366624802
515486.9729,20.35770833,84.16527778,153.3049769,30,9.708931055,9.269800131,0.488136497,0.000277104,5.366624802
431487.3622,12.89782706,75.73711918,157.4538157,31,9.708931055,9.269800131,0.488136497,0.000277104,5.366624802
386659.5655,9.760949074,74.10636574,128.5277006,30,9.708931055,9.269800131,0.488136497,0.000277104,5.366624802
374959.2636,5.489852151,75.55857975,140.3433766,31,9.708931055,9.269800131,0.488136497,0.000277104,5.366624802
396061.623,-2.113575269,70.30320341,156.7973417,31,12.59083991,9.355807306,0.614069057,0.000247564,6.238774309
369827.805,1.942956349,62.61458333,188.2471892,28,12.59083991,9.355807306,0.614069057,0.000247564,6.238774309
424821.5439,5.43313172,62.39908154,197.9807721,31,12.59083991,9.355807306,0.614069057,0.000247564,6.238774309
435912.6004,12.56460648,68.95763889,135.3763503,30,12.59083991,9.355807306,0.614069057,0.000247564,6.238774309
522606.8262,17.91901882,74.3156362,192.3388217,31,12.59083991,9.355807306,0.614069057,0.000247564,6.238774309
553363.7786,22.21377315,69.30104167,225.3063657,30,12.59083991,9.355807306,0.614069057,0.000247564,6.238774309
595391.5712,26.66420251,66.30790771,284.5905765,31,12.59083991,9.355807306,0.614069057,0.000247564,6.238774309
594894.8662,23.04596774,77.16319444,219.8065636,31,12.59083991,9.355807306,0.614069057,0.000247564,6.238774309
