Electricity:Facility,InteriorEquipment:Electricity,Electricity:HVAC,Heating:Gas,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,Site Direct Solar Radiation Rate per Area,days,tc1,tc2,tc3,tc4,tc5
551089.9631,162800.0864,13427.55378,766.9011025,22.21377315,69.30104167,225.3063657,30,11.48093354,8.924971163,0.651049789,0.000293625,4.892593197
604313.8873,159968.2414,15451.24479,10.31982561,26.66420251,66.30790771,284.5905765,31,11.48093354,8.924971163,0.651049789,0.000293625,4.892593197
596162.6625,169001.207,14244.20408,1068.367746,23.04596774,77.16319444,219.8065636,31,11.48093354,8.924971163,0.651049789,0.000293625,4.892593197
539461.892,156991.7035,11994.65622,6049.669408,20.35770833,84.16527778,153.3049769,30,11.48093354,8.924971163,0.651049789,0.000293625,4.892593197
446954.6295,162552.0416,11180.7296,37922.20088,12.89782706,75.73711918,157.4538157,31,11.48093354,8.924971163,0.651049789,0.000293625,4.892593197
399352.9842,156350.921,10327.06852,63598.86729,9.760949074,74.10636574,128.5277006,30,11.48093354,8.924971163,0.651049789,0.000293625,4.892593197
387035.4862,159968.2414,10708.33539,113776.0065,5.489852151,75.55857975,140.3433766,31,11.48093354,8.924971163,0.651049789,0.000293625,4.892593197
406807.7665,178812.1286,16088.61288,283468.3479,-2.113575269,70.30320341,156.7973417,31,12.33416652,10.01643472,0.552542541,0.000284684,5.130415646
379869.9857,165171.5562,12322.13799,140656.2385,1.942956349,62.61458333,188.2471892,28,12.33416652,10.01643472,0.552542541,0.000284684,5.130415646
436192.359,189668.9106,14043.77283,90759.04192,5.43313172,62.39908154,197.9807721,31,12.33416652,10.01643472,0.552542541,0.000284684,5.130415646
453118.8121,176190.726,12819.46236,37094.99416,12.56460648,68.95763889,135.3763503,30,12.33416652,10.01643472,0.552542541,0.000284684,5.130415646
550596.1135,186049.9833,15134.66524,10615.77946,17.91901882,74.3156362,192.3388217,31,12.33416652,10.01643472,0.552542541,0.000284684,5.130415646
587915.4759,182709.4349,16930.51307,627.6467599,22.21377315,69.30104167,225.3063657,30,12.33416652,10.01643472,0.552542541,0.000284684,5.130415646
641203.2204,179531.2744,19331.17341,9.567701938,26.66420251,66.30790771,284.5905765,31,12.33416652,10.01643472,0.552542541,0.000284684,5.130415646
635506.149,189668.9106,17971.34071,910.7171283,23.04596774,77.16319444,219.8065636,31,12.33416652,10.01643472,0.552542541,0.000284684,5.130415646
575153.3774,176190.726,15125.06773,5289.628085,20.35770833,84.16527778,153.3049769,30,12.33416652,10.01643472,0.552542541,0.000284684,5.130415646
481790.8365,182431.0559,13958.43335,33837.54728,12.89782706,75.73711918,157.4538157,31,12.33416652,10.01643472,0.552542541,0.000284684,5.130415646
432072.9966,175471.5802,12775.47237,57012.38584,9.760949074,74.10636574,128.5277006,30,12.33416652,10.01643472,0.552542541,0.000284684,5.130415646
419613.4289,179531.2744,13238.35122,101584.8713,5.489852151,75.55857975,140.3433766,31,12.33416652,10.01643472,0.552542541,0.000284684,5.130415646
360627.5589,174485.7669,15639.47478,325384.4141,-2.113575269,70.30320341,156.7973417,31,8.774264963,9.774086957,0.529298843,0.000286333,5.269432514
335659.6038,161175.2284,11777.92199,166970.156,1.942956349,62.61458333,188.2471892,28,8.774264963,9.774086957,0.529298843,0.000286333,5.269432514
383928.21,185079.869,13295.49387,107699.3295,5.43313172,62.39908154,197.9807721,31,8.774264963,9.774086957,0.529298843,0.000286333,5.269432514
401130.439,171927.7893,12061.87183,42139.49241,12.56460648,68.95763889,135.3763503,30,8.774264963,9.774086957,0.529298843,0.000286333,5.269432514
488736.5155,181548.5016,14132.40421,12043.95374,17.91901882,74.3156362,192.3388217,31,8.774264963,9.774086957,0.529298843,0.000286333,5.269432514
522543.0357,178288.7779,15871.38947,704.2712376,22.21377315,69.30104167,225.3063657,30,8.774264963,9.774086957,0.529298843,0.000286333,5.269432514
573950.1809,175187.513,18429.53002,7.757025613,26.66420251,66.30790771,284.5905765,31,8.774264963,9.774086957,0.529298843,0.000286333,5.269432514
564421.4264,185079.869,16847.80683,998.323428,23.04596774,77.16319444,219.8065636,31,8.774264963,9.774086957,0.529298843,0.000286333,5.269432514
511919.2047,171927.7893,14123.2477,5910.45877,20.35770833,84.16527778,153.3049769,30,8.774264963,9.774086957,0.529298843,0.000286333,5.269432514
427589.3281,178017.1343,13109.20408,38163.09684,12.89782706,75.73711918,157.4538157,31,8.774264963,9.774086957,0.529298843,0.000286333,5.269432514
383112.9045,171226.0432,12113.49762,64336.79398,9.760949074,74.10636574,128.5277006,30,8.774264963,9.774086957,0.529298843,0.000286333,5.269432514
371616.0271,175187.513,12541.73669,117000.6788,5.489852151,75.55857975,140.3433766,31,8.774264963,9.774086957,0.529298843,0.000286333,5.269432514
379324.9739,180064.7129,12407.99388,306081.662,-2.113575269,70.30320341,156.7973417,31,10.18046988,10.08660015,0.687380138,0.000278262,4.454203613
