Electricity:Facility,InteriorLights:Electricity,Electricity:HVAC,Heating:Gas,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,Site Direct Solar Radiation Rate per Area,days,tc1,tc2,tc3,tc4,tc5,tc6
621545.1039,154240.3845,18748.98064,817.8008212,23.04596774,77.16319444,219.8065636,31,11.81220364,10.92895153,0.541152987,0.000362236,6.338999708,0.841542069
563867.1819,138701.4454,15728.45403,4804.4603,20.35770833,84.16527778,153.3049769,30,11.81220364,10.92895153,0.541152987,0.000362236,6.338999708,0.841542069
485894.108,143188.0405,14428.16135,31507.68473,12.89782706,75.73711918,157.4538157,31,11.81220364,10.92895153,0.541152987,0.000362236,6.338999708,0.841542069
439580.4622,137005.2936,13158.03271,53047.24508,9.760949074,74.10636574,128.5277006,30,11.81220364,10.92895153,0.541152987,0.000362236,6.338999708,0.841542069
429137.7188,139358.0203,13617.48339,94765.54722,5.489852151,75.55857975,140.3433766,31,11.81220364,10.92895153,0.541152987,0.000362236,6.338999708,0.841542069
374658.2432,101912.4227,17581.3502,343018.2883,-2.113575269,70.30320341,156.7973417,31,8.744689457,10.47091184,0.485545433,0.000349167,6.254306229,0.741158742
348286.1598,96363.13735,13416.90547,178068.6436,1.942956349,62.61458333,188.2471892,28,8.744689457,10.47091184,0.485545433,0.000349167,6.254306229,0.741158742
397956.0251,114185.6596,14737.48661,111560.17,5.43313172,62.39908154,197.9807721,31,8.744689457,10.47091184,0.485545433,0.000349167,6.254306229,0.741158742
410506.8511,102682.0316,13406.63247,43868.96468,12.56460648,68.95763889,135.3763503,30,8.744689457,10.47091184,0.485545433,0.000349167,6.254306229,0.741158742
493459.3928,110094.5806,15764.43278,12479.99465,17.91901882,74.3156362,192.3388217,31,8.744689457,10.47091184,0.485545433,0.000349167,6.254306229,0.741158742
522856.4698,109608.5118,17767.78923,710.3121019,22.21377315,69.30104167,225.3063657,30,8.744689457,10.47091184,0.485545433,0.000349167,6.254306229,0.741158742
568131.56,103168.1004,20629.76316,8.305672398,26.66420251,66.30790771,284.5905765,31,8.744689457,10.47091184,0.485545433,0.000349167,6.254306229,0.741158742
562550.0056,114185.6596,18890.86949,1009.178781,23.04596774,77.16319444,219.8065636,31,8.744689457,10.47091184,0.485545433,0.000349167,6.254306229,0.741158742
