Electricity:Facility,InteriorEquipment:Electricity,Electricity:HVAC,Heating:Gas,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,Site Direct Solar Radiation Rate per Area,days,tc1,tc2,tc3
445253.3725,186120.3859,13126.84163,37421.13342,12.56460648,68.95763889,135.3763503,30,11.02637611,10.58093543,0.529986246
538526.9582,196535.2857,15531.5717,10605.47428,17.91901882,74.3156362,192.3388217,31,11.02637611,10.58093543,0.529986246
573206.4679,193006.4726,17426.34301,595.7319866,22.21377315,69.30104167,225.3063657,30,11.02637611,10.58093543,0.529986246
624314.4921,189649.199,19974.53984,8.311579376,26.66420251,66.30790771,284.5905765,31,11.02637611,10.58093543,0.529986246
618593.9467,200358.1666,18512.7354,877.9364915,23.04596774,77.16319444,219.8065636,31,11.02637611,10.58093543,0.529986246
560642.1554,186120.3859,15542.84315,5233.519367,20.35770833,84.16527778,153.3049769,30,11.02637611,10.58093543,0.529986246
473715.7549,192712.4049,14306.39284,34144.4697,12.89782706,75.73711918,157.4538157,31,11.02637611,10.58093543,0.529986246
425773.477,185360.7109,13076.55668,57548.95099,9.760949074,74.10636574,128.5277006,30,11.02637611,10.58093543,0.529986246
414180.7476,189649.199,13555.44932,103475.1785,5.489852151,75.55857975,140.3433766,31,11.02637611,10.58093543,0.529986246
405054.5569,173322.9653,14193.36106,290234.414,-2.113575269,70.30320341,156.7973417,31,12.81624624,9.708950846,0.636255893
378292.8593,160101.1303,10773.72008,143642.1629,1.942956349,62.61458333,188.2471892,28,12.81624624,9.708950846,0.636255893
434423.5979,183846.4665,12233.31037,92476.42486,5.43313172,62.39908154,197.9807721,31,12.81624624,9.708950846,0.636255893
448907.1591,170782.0344,11163.37339,37927.90372,12.56460648,68.95763889,135.3763503,30,12.81624624,9.708950846,0.636255893
542292.4051,180338.6328,13155.69263,10947.96653,17.91901882,74.3156362,192.3388217,31,12.81624624,9.708950846,0.636255893
577168.2847,177100.6324,14695.53975,668.5159404,22.21377315,69.30104167,225.3063657,30,12.81624624,9.708950846,0.636255893
625864.6691,174020.0348,16781.92565,10.51894057,26.66420251,66.30790771,284.5905765,31,12.81624624,9.708950846,0.636255893
622535.9789,183846.4665,15604.56536,944.7474143,23.04596774,77.16319444,219.8065636,31,12.81624624,9.708950846,0.636255893
563974.5287,170782.0344,13141.41256,5463.564127,20.35770833,84.16527778,153.3049769,30,12.81624624,9.708950846,0.636255893
476855.0926,176830.799,12148.71592,34628.97928,12.89782706,75.73711918,157.4538157,31,12.81624624,9.708950846,0.636255893
429001.545,170084.9649,11138.3839,58244.37142,9.760949074,74.10636574,128.5277006,30,12.81624624,9.708950846,0.636255893
417426.8242,174020.0348,11537.37623,103508.7692,5.489852151,75.55857975,140.3433766,31,12.81624624,9.708950846,0.636255893
396246.7123,170316.057,17735.89908,298133.8623,-2.113575269,70.30320341,156.7973417,31,12.0132458,9.540514286,0.499702745
369449.0501,157323.6023,13398.21174,148610.456,1.942956349,62.61458333,188.2471892,28,12.0132458,9.540514286,0.499702745
423882.7835,180656.9905,15199.76928,95883.87541,5.43313172,62.39908154,197.9807721,31,12.0132458,9.540514286,0.499702745
439057.8069,167819.2077,13845.55072,39225.12255,12.56460648,68.95763889,135.3763503,30,12.0132458,9.540514286,0.499702745
531754.4266,177210.0127,16258.31236,11357.75167,17.91901882,74.3156362,192.3388217,31,12.0132458,9.540514286,0.499702745
566592.1066,174028.187,18208.18998,700.0510528,22.21377315,69.30104167,225.3063657,30,12.0132458,9.540514286,0.499702745
615195.3254,171001.0334,20862.38965,10.12512158,26.66420251,66.30790771,284.5905765,31,12.0132458,9.540514286,0.499702745
611113.7901,180656.9905,19323.98801,979.964483,23.04596774,77.16319444,219.8065636,31,12.0132458,9.540514286,0.499702745
553615.5391,167819.2077,16252.23464,5638.582888,20.35770833,84.16527778,153.3049769,30,12.0132458,9.540514286,0.499702745
467220.4728,173763.0348,15037.53626,35638.14748,12.89782706,75.73711918,157.4538157,31,12.0132458,9.540514286,0.499702745
419863.9344,167134.2314,13837.78232,60093.31775,9.760949074,74.10636574,128.5277006,30,12.0132458,9.540514286,0.499702745
407999.7587,171001.0334,14332.24272,106738.5762,5.489852151,75.55857975,140.3433766,31,12.0132458,9.540514286,0.499702745
356752.8327,164752.8225,17122.52245,333263.6819,-2.113575269,70.30320341,156.7973417,31,9.148381472,9.228881199,0.486011739
332069.5283,152184.7556,13086.19204,175011.3258,1.942956349,62.61458333,188.2471892,28,9.148381472,9.228881199,0.486011739
379535.7447,174755.9778,14405.2688,111111.9743,5.43313172,62.39908154,197.9807721,31,9.148381472,9.228881199,0.486011739
395742.1996,162337.5307,13057.48595,43985.51492,12.56460648,68.95763889,135.3763503,30,9.148381472,9.228881199,0.486011739
481287.3087,171421.5927,15228.29208,12757.9537,17.91901882,74.3156362,192.3388217,31,9.148381472,9.228881199,0.486011739
514123.8735,168343.6988,17048.63841,769.7441995,22.21377315,69.30104167,225.3063657,30,9.148381472,9.228881199,0.486011739
562915.249,165415.4247,19817.47406,9.126150088,26.66420251,66.30790771,284.5905765,31,9.148381472,9.228881199,0.486011739
554443.7555,174755.9778,18096.56736,1080.96993,23.04596774,77.16319444,219.8065636,31,9.148381472,9.228881199,0.486011739
503031.209,162337.5307,15189.63334,6246.3131,20.35770833,84.16527778,153.3049769,30,9.148381472,9.228881199,0.486011739
422089.7629,168087.2076,14166.62411,39746.55935,12.89782706,75.73711918,157.4538157,31,9.148381472,9.228881199,0.486011739
378397.3406,161674.9286,13118.79367,66752.31636,9.760949074,74.10636574,128.5277006,30,9.148381472,9.228881199,0.486011739
367136.1011,165415.4247,13612.92675,120744.3508,5.489852151,75.55857975,140.3433766,31,9.148381472,9.228881199,0.486011739
402699.6845,199642.6567,12390.46342,288776.2342,-2.113575269,70.30320341,156.7973417,31,10.51092311,11.18328859,0.706156189
375767.005,184413.0404,9501.585487,143575.0209,1.942956349,62.61458333,188.2471892,28,10.51092311,11.18328859,0.706156189
430657.0425,211764.188,10817.52084,91591.22896,5.43313172,62.39908154,197.9807721,31,10.51092311,11.18328859,0.706156189
445517.7164,196715.8767,9902.880301,36300.68251,12.56460648,68.95763889,135.3763503,30,10.51092311,11.18328859,0.706156189
537589.8907,207723.6776,11756.82698,10223.61392,17.91901882,74.3156362,192.3388217,31,10.51092311,11.18328859,0.706156189
572117.6905,203993.9756,13224.24294,573.1259998,22.21377315,69.30104167,225.3063657,30,10.51092311,11.18328859,0.706156189
621939.8845,200445.5786,15147.00446,7.545722548,26.66420251,66.30790771,284.5905765,31,10.51092311,11.18328859,0.706156189
617178.2785,211764.188,14057.42878,829.9205631,23.04596774,77.16319444,219.8065636,31,10.51092311,11.18328859,0.706156189
559328.646,196715.8767,11774.82761,4982.255506,20.35770833,84.16527778,153.3049769,30,10.51092311,11.18328859,0.706156189
473186.1717,203683.1671,10804.89285,33267.09995,12.89782706,75.73711918,157.4538157,31,10.51092311,11.18328859,0.706156189
426081.3633,195912.9547,9850.758132,56157.62163,9.760949074,74.10636574,128.5277006,30,10.51092311,11.18328859,0.706156189
414999.2113,200445.5786,10202.72086,102056.3653,5.489852151,75.55857975,140.3433766,31,10.51092311,11.18328859,0.706156189
432642.5984,209093.4668,13555.52353,259634.9527,-2.113575269,70.30320341,156.7973417,31,12.17399235,11.71269017,0.66071701
404225.156,193142.9014,10619.12269,127857.7209,1.942956349,62.61458333,188.2471892,28,12.17399235,11.71269017,0.66071701
464159.1253,221788.8149,12188.12842,82226.78355,5.43313172,62.39908154,197.9807721,31,12.17399235,11.71269017,0.66071701
478404.8762,206028.1371,11249.04726,33344.51316,12.56460648,68.95763889,135.3763503,30,12.17399235,11.71269017,0.66071701
575898.1715,217557.0322,13406.80659,9344.69485,17.91901882,74.3156362,192.3388217,31,12.17399235,11.71269017,0.66071701
612477.1959,213650.7713,15065.22899,539.4844672,22.21377315,69.30104167,225.3063657,30,12.17399235,11.71269017,0.66071701
663032.5923,209934.398,17088.98573,7.930299569,26.66420251,66.30790771,284.5905765,31,12.17399235,11.71269017,0.66071701
660801.1579,221788.8149,15996.41761,765.9409425,23.04596774,77.16319444,219.8065636,31,12.17399235,11.71269017,0.66071701
598519.6072,206028.1371,13434.42994,4561.462205,20.35770833,84.16527778,153.3049769,30,12.17399235,11.71269017,0.66071701
507731.2916,213325.2495,12301.90666,30735.88527,12.89782706,75.73711918,157.4538157,31,12.17399235,11.71269017,0.66071701
457626.1242,205187.2059,11118.40299,51692.37547,9.760949074,74.10636574,128.5277006,30,12.17399235,11.71269017,0.66071701
445933.4674,209934.398,11485.10237,92960.67392,5.489852151,75.55857975,140.3433766,31,12.17399235,11.71269017,0.66071701
400884.4782,174740.8545,12390.66303,293639.5175,-2.113575269,70.30320341,156.7973417,31,12.49087838,9.788376077,0.724922794
374537.2817,161410.8567,9398.881782,145536.8749,1.942956349,62.61458333,188.2471892,28,12.49087838,9.788376077,0.724922794
429944.3841,185350.4445,10671.15402,93426.3002,5.43313172,62.39908154,197.9807721,31,12.49087838,9.788376077,0.724922794
444229.9935,172179.1372,9735.513484,38054.82868,12.56460648,68.95763889,135.3763503,30,12.49087838,9.788376077,0.724922794
536373.4336,181813.9145,11476.01814,10958.10566,17.91901882,74.3156362,192.3388217,31,12.49087838,9.788376077,0.724922794
570901.5438,178549.4252,12827.03213,661.7808878,22.21377315,69.30104167,225.3063657,30,12.49087838,9.788376077,0.724922794
619120.3147,175443.6265,14658.33848,10.78066847,26.66420251,66.30790771,284.5905765,31,12.49087838,9.788376077,0.724922794
615574.8214,185350.4445,13622.85413,939.5213521,23.04596774,77.16319444,219.8065636,31,12.49087838,9.788376077,0.724922794
557730.5553,172179.1372,11465.23245,5459.272983,20.35770833,84.16527778,153.3049769,30,12.49087838,9.788376077,0.724922794
471749.942,178277.3845,10596.68996,34771.16596,12.89782706,75.73711918,157.4538157,31,12.49087838,9.788376077,0.724922794
424481.9358,171476.3652,9714.332733,58441.70493,9.760949074,74.10636574,128.5277006,30,12.49087838,9.788376077,0.724922794
413212.5827,175443.6265,10061.32905,104348.3183,5.489852151,75.55857975,140.3433766,31,12.49087838,9.788376077,0.724922794
434954.388,201895.338,17458.21875,258967.6727,-2.113575269,70.30320341,156.7973417,31,12.6552485,11.30947598,0.516410687
406165.2501,186493.8773,13629.91222,127536.6138,1.942956349,62.61458333,188.2471892,28,12.6552485,11.30947598,0.516410687
466625.5467,214153.6434,15624.49579,82581.6075,5.43313172,62.39908154,197.9807721,31,12.6552485,11.30947598,0.516410687
481385.2482,198935.5334,14393.75505,33882.41176,12.56460648,68.95763889,135.3763503,30,12.6552485,11.30947598,0.516410687
580571.7837,210067.5416,17118.13996,9560.585117,17.91901882,74.3156362,192.3388217,31,12.6552485,11.30947598,0.516410687
