Electricity:Facility,InteriorLights:Electricity,InteriorEquipment:Electricity,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,Site Direct Solar Radiation Rate per Area,days,tc1,tc2,tc3,tc4,tc5,tc6
340905.8184,108266.0988,158183.8904,1.942956349,62.61458333,188.2471892,28,9.824850443,9.592684405,0.72491063,0.000297662,5.874959653,0.630027989
390270.2517,128290.0935,181644.8719,5.43313172,62.39908154,197.9807721,31,9.824850443,9.592684405,0.72491063,0.000297662,5.874959653,0.630027989
403709.3274,115365.5151,168736.8887,12.56460648,68.95763889,135.3763503,30,9.824850443,9.592684405,0.72491063,0.000297662,5.874959653,0.630027989
486996.3343,123693.6766,178179.0451,17.91901882,74.3156362,192.3388217,31,9.824850443,9.592684405,0.72491063,0.000297662,5.874959653,0.630027989
517294.9337,123147.5676,174979.8203,22.21377315,69.30104167,225.3063657,30,9.824850443,9.592684405,0.72491063,0.000297662,5.874959653,0.630027989
562947.6321,115911.6241,171936.1134,26.66420251,66.30790771,284.5905765,31,9.824850443,9.592684405,0.72491063,0.000297662,5.874959653,0.630027989
557021.7773,128290.0935,181644.8719,23.04596774,77.16319444,219.8065636,31,9.824850443,9.592684405,0.72491063,0.000297662,5.874959653,0.630027989
505914.5186,115365.5151,168736.8887,20.35770833,84.16527778,153.3049769,30,9.824850443,9.592684405,0.72491063,0.000297662,5.874959653,0.630027989
429558.1783,119097.2596,174713.2182,12.89782706,75.73711918,157.4538157,31,9.824850443,9.592684405,0.72491063,0.000297662,5.874959653,0.630027989
386898.9416,113954.7337,168048.1667,9.760949074,74.10636574,128.5277006,30,9.824850443,9.592684405,0.72491063,0.000297662,5.874959653,0.630027989
376624.1266,115911.6241,171936.1134,5.489852151,75.55857975,140.3433766,31,9.824850443,9.592684405,0.72491063,0.000297662,5.874959653,0.630027989
423687.3333,131082.0234,211725.4871,-2.113575269,70.30320341,156.7973417,31,11.24761396,11.86012681,0.677599597,0.000263765,4.846990893,0.704598749
396168.3846,123944.4093,195574.1396,1.942956349,62.61458333,188.2471892,28,11.24761396,11.86012681,0.677599597,0.000263765,4.846990893,0.704598749
454653.1321,146868.1336,224580.6412,5.43313172,62.39908154,197.9807721,31,11.24761396,11.86012681,0.677599597,0.000263765,4.846990893,0.704598749
473028.9812,132071.9115,208621.5717,12.56460648,68.95763889,135.3763503,30,11.24761396,11.86012681,0.677599597,0.000263765,4.846990893,0.704598749
575123.0214,141606.0969,220295.5899,17.91901882,74.3156362,192.3388217,31,11.24761396,11.86012681,0.677599597,0.000263765,4.846990893,0.704598749
615019.0509,140980.9044,216340.1578,22.21377315,69.30104167,225.3063657,30,11.24761396,11.86012681,0.677599597,0.000263765,4.846990893,0.704598749
673214.0052,132697.104,212577.0037,26.66420251,66.30790771,284.5905765,31,11.24761396,11.86012681,0.677599597,0.000263765,4.846990893,0.704598749
665978.4377,146868.1336,224580.6412,23.04596774,77.16319444,219.8065636,31,11.24761396,11.86012681,0.677599597,0.000263765,4.846990893,0.704598749
602194.8418,132071.9115,208621.5717,20.35770833,84.16527778,153.3049769,30,11.24761396,11.86012681,0.677599597,0.000263765,4.846990893,0.704598749
502503.7532,136344.0602,216010.5385,12.89782706,75.73711918,157.4538157,31,11.24761396,11.86012681,0.677599597,0.000263765,4.846990893,0.704598749
450554.1935,130456.831,207770.0551,9.760949074,74.10636574,128.5277006,30,11.24761396,11.86012681,0.677599597,0.000263765,4.846990893,0.704598749
437720.6552,132697.104,212577.0037,5.489852151,75.55857975,140.3433766,31,11.24761396,11.86012681,0.677599597,0.000263765,4.846990893,0.704598749
393666.3636,141216.2519,166739.9235,-2.113575269,70.30320341,156.7973417,31,12.11719078,9.340191701,0.50663411,0.000304837,5.256828029,0.68521525
367176.7001,133526.8137,154020.2719,1.942956349,62.61458333,188.2471892,28,12.11719078,9.340191701,0.50663411,0.000304837,5.256828029,0.68521525
421337.0258,158222.8195,176863.7279,5.43313172,62.39908154,197.9807721,31,12.11719078,9.340191701,0.50663411,0.000304837,5.256828029,0.68521525
437818.3929,142282.6703,164295.5007,12.56460648,68.95763889,135.3763503,30,12.11719078,9.340191701,0.50663411,0.000304837,5.256828029,0.68521525
532223.4665,152553.9637,173489.1265,17.91901882,74.3156362,192.3388217,31,12.11719078,9.340191701,0.50663411,0.000304837,5.256828029,0.68521525
568323.6614,151880.4362,170374.1097,22.21377315,69.30104167,225.3063657,30,12.11719078,9.340191701,0.50663411,0.000304837,5.256828029,0.68521525
619320.6642,142956.1977,167410.5174,26.66420251,66.30790771,284.5905765,31,12.11719078,9.340191701,0.50663411,0.000304837,5.256828029,0.68521525
613554.3418,158222.8195,176863.7279,23.04596774,77.16319444,219.8065636,31,12.11719078,9.340191701,0.50663411,0.000304837,5.256828029,0.68521525
555896.9823,142282.6703,164295.5007,20.35770833,84.16527778,153.3049769,30,12.11719078,9.340191701,0.50663411,0.000304837,5.256828029,0.68521525
465917.5957,146885.1078,170114.525,12.89782706,75.73711918,157.4538157,31,12.11719078,9.340191701,0.50663411,0.000304837,5.256828029,0.68521525
417926.1538,140542.7244,163624.9068,9.760949074,74.10636574,128.5277006,30,12.11719078,9.340191701,0.50663411,0.000304837,5.256828029,0.68521525
405623.5557,142956.1977,167410.5174,5.489852151,75.55857975,140.3433766,31,12.11719078,9.340191701,0.50663411,0.000304837,5.256828029,0.68521525
396485.7945,133897.5906,177131.5966,-2.113575269,70.30320341,156.7973417,31,11.4892063,9.922297153,0.508421381,0.000290631,5.829273407,0.725568168
